Date,Open,High,Low,Close,Volume
10/13/2015,18:30,25.075,25.075,25.057,25.057,35736
10/13/2015,19:00,25.048,25.051,25.039,25.039,27985
10/13/2015,19:30,25.046,25.066,25.039,25.055,48618
10/14/2015,04:00,25.188,25.188,25.071,25.071,888
10/14/2015,05:30,25.071,25.071,25.071,25.071,444
10/14/2015,06:00,25.073,25.084,25.012,25.028,68060
10/14/2015,06:30,25.028,25.062,25.006,25.062,165473
10/14/2015,07:00,25.046,25.051,25.021,25.039,19089
10/14/2015,07:30,25.042,25.044,24.963,25.019,292146
10/14/2015,08:00,25.089,25.089,25.01,25.037,295824
10/14/2015,08:30,25.037,25.039,24.983,25.028,396428
10/14/2015,09:00,25.017,25.073,25.006,25.073,519379
10/14/2015,09:30,25.071,25.123,24.954,24.956,23211361
10/14/2015,10:00,24.958,24.965,24.726,24.819,27260708
10/14/2015,10:30,24.818,24.846,24.724,24.83,17840558
10/14/2015,11:00,24.83,24.866,24.758,24.783,11001610
10/14/2015,11:30,24.784,24.864,24.771,24.792,9592987
10/14/2015,12:00,24.792,24.796,24.681,24.753,11293204
10/14/2015,12:30,24.753,24.913,24.753,24.891,12810999
10/14/2015,13:00,24.89,24.924,24.87,24.897,6934782
10/14/2015,13:30,24.895,24.915,24.866,24.885,5876684
10/14/2015,14:00,24.886,24.92,24.832,24.838,7969340
10/14/2015,14:30,24.834,24.836,24.733,24.776,11766748
10/14/2015,15:00,24.776,24.873,24.771,24.862,10532534
10/14/2015,15:30,24.864,24.895,24.771,24.828,17942810
10/14/2015,16:00,24.828,25.1,24.751,24.803,6610636
10/14/2015,16:30,24.83,24.843,24.798,24.814,338876
10/14/2015,17:00,24.832,24.848,24.814,24.848,66271
10/14/2015,17:30,24.837,24.837,24.825,24.834,15796
10/14/2015,18:00,24.825,24.861,24.821,24.848,20008
10/14/2015,18:30,24.861,24.861,24.848,24.848,8364
10/14/2015,19:00,24.848,24.848,24.834,24.837,15173
10/14/2015,19:30,24.832,24.87,24.832,24.87,16702
10/15/2015,04:00,24.972,25.003,24.972,24.976,12150
10/15/2015,04:30,24.983,24.983,24.983,24.983,803
10/15/2015,05:00,24.983,24.994,24.938,24.961,5448
10/15/2015,05:30,24.97,24.974,24.961,24.974,8545
10/15/2015,06:00,24.97,24.97,24.938,24.938,8426
10/15/2015,06:30,24.938,24.972,24.938,24.972,14325
10/15/2015,07:00,24.947,24.974,24.913,24.913,28761
10/15/2015,07:30,24.911,24.947,24.909,24.947,18139
10/15/2015,08:00,24.949,25.051,24.927,25.006,356941
